"Activity"	"Mean"	"Standard_Deviation"
"STANDING"	-0.616973401597861	0.588597672314509
"STANDING"	-0.647452647823529	0.535919132370063
"STANDING"	-0.652025983711765	0.52997438810499
"STANDING"	-0.657534953336756	0.532444199278966
"STANDING"	-0.654057956196078	0.533657624298974
"STANDING"	-0.659554030525312	0.532248592816158
"STANDING"	-0.645116775069519	0.53565673190081
"STANDING"	-0.645325383887504	0.535450489791814
"STANDING"	-0.641482099815508	0.539961296555247
"STANDING"	-0.647290997762888	0.523756357116073
"STANDING"	-0.644086386082888	0.53162090539876
"STANDING"	-0.658825698502317	0.538804485611698
"STANDING"	-0.654020403976524	0.542897492203905
"STANDING"	-0.653875139931551	0.547634638062761
"STANDING"	-0.60943354542139	0.558989320693267
"STANDING"	-0.640511321434046	0.555611612698438
"STANDING"	-0.653508930552941	0.53760786801534
"STANDING"	-0.653391669550089	0.533196866545128
"STANDING"	-0.655448835994474	0.54330706344489
"STANDING"	-0.645527588281462	0.555186826371533
"STANDING"	-0.65609994263066	0.55154645632626
"STANDING"	-0.654135769801783	0.562833400033617
"STANDING"	-0.651505895317469	0.552812555858973
"STANDING"	-0.659999789363633	0.544871657712141
"STANDING"	-0.65056776896369	0.548991375059471
"STANDING"	-0.644122114043494	0.553975798884094
"STANDING"	-0.640787210232781	0.567724950633311
"SITTING"	-0.570213357480927	0.545480587120041
"SITTING"	-0.625172535675936	0.565282399359474
"SITTING"	-0.637487907064171	0.552927813737582
"SITTING"	-0.559968098207487	0.515393889016589
"SITTING"	-0.528745131451961	0.5275031161899
"SITTING"	-0.556676454634403	0.545021079062719
"SITTING"	-0.633179913416043	0.542316859701085
"SITTING"	-0.631428602746702	0.565257219612126
"SITTING"	-0.645136656863993	0.557757529544457
"SITTING"	-0.646204836351961	0.550816672387583
"SITTING"	-0.651208955461854	0.545716166173237
"SITTING"	-0.612689181286453	0.550884241418409
"SITTING"	-0.629372220849376	0.538692936898469
"SITTING"	-0.638599739738164	0.543834994524077
"SITTING"	-0.647367776978431	0.539348645725956
"SITTING"	-0.647291931333868	0.537302887539045
"SITTING"	-0.641141104321693	0.548735777917751
"SITTING"	-0.640233389382709	0.548163880611422
"SITTING"	-0.651022219299822	0.53813919887497
"SITTING"	-0.645440083469037	0.545783063452797
"SITTING"	-0.653014850709804	0.53620824261569
"SITTING"	-0.650811171713904	0.540945292570207
"SITTING"	-0.649183828508021	0.53706050295003
"SITTING"	-0.645873390263993	0.54763664848657
"LAYING"	-0.603132382210214	0.537159920077927
"LAYING"	-0.634715269611943	0.549550628318783
"LAYING"	-0.633303775152923	0.55826811730882
"LAYING"	-0.643603751138253	0.552753344676024
"LAYING"	-0.657309994401426	0.539928071694045
"LAYING"	-0.649761720088289	0.545210660147411
"LAYING"	-0.64246215870713	0.550371446691306
"LAYING"	-0.654821388556328	0.540702148011027
"LAYING"	-0.650407582471176	0.547693677034985
"LAYING"	-0.640711357536364	0.561358413748803
"LAYING"	-0.649275767327451	0.54823695132761
"LAYING"	-0.647666652908556	0.556785972416828
"LAYING"	-0.645282174283244	0.553407790334245
"LAYING"	-0.55111433523672	0.539108906165006
"LAYING"	-0.607154223268984	0.564290524787672
"LAYING"	-0.511076301806774	0.511860660935226
"LAYING"	-0.489405698459358	0.522162339376204
"LAYING"	-0.583101213003922	0.531707837505849
"LAYING"	-0.532658563961622	0.506771741853206
"LAYING"	-0.379584599360071	0.502255574175702
"LAYING"	-0.380870733689127	0.499262160637474
"LAYING"	-0.536864262049002	0.539560273583551
"LAYING"	-0.613548256128627	0.542792216097341
"LAYING"	-0.630347922547237	0.54312580742208
"LAYING"	-0.637217588987219	0.558492963327653
"LAYING"	-0.648395693625187	0.546930965945706
"LAYING"	-0.657808604004278	0.540801976965456
"WALKING"	-0.373762232922353	0.46247154958928
"WALKING"	-0.336874138709626	0.448117779825302
"WALKING"	-0.341955119642424	0.455458406295008
"WALKING"	-0.303804710649643	0.447900159231145
"WALKING"	-0.303013392548841	0.452446846054534
"WALKING"	-0.314193721670945	0.446778203370729
"WALKING"	-0.334004255122638	0.458665921866671
"WALKING"	-0.317855160262977	0.452838092033099
"WALKING"	-0.368292665177166	0.462333708040472
"WALKING"	-0.337928328406061	0.451507349882868
"WALKING"	-0.344280113168663	0.446759604664245
"WALKING"	-0.320794428905348	0.445361448243404
"WALKING"	-0.303972551243832	0.458524849668562
"WALKING"	-0.290712416360036	0.445391198036582
"WALKING"	-0.298929348282496	0.449136635318647
"WALKING"	-0.303826568447665	0.454304709121924
"WALKING"	-0.308141080567879	0.448232249963136
"WALKING"	-0.303307946885027	0.438374965412827
"WALKING"	-0.297645063976114	0.452877999801023
"WALKING"	-0.313297681915508	0.440879077909829
"WALKING"	-0.309874409699393	0.445541650602518
"WALKING"	-0.296184399174064	0.447806055469905
"WALKING"	-0.309934396000356	0.446192533661772
"WALKING"	-0.25937103576738	0.440983340925284
"WALKING"	-0.283384731214617	0.446232896083186
"WALKING"	-0.293289650625134	0.46189325204559
"WALKING"	-0.302374811990553	0.456340174555883
"WALKING"	-0.335428887950463	0.453778771998605
"WALKING"	-0.312844901594547	0.448867057503995
"WALKING"	-0.293470167709661	0.445041306865753
"WALKING"	-0.303096162593654	0.440934782819376
"WALKING"	-0.306718902846168	0.448052732051627
"WALKING"	-0.316400444072193	0.454294954663729
"WALKING"	-0.271843978214838	0.453319579455896
"WALKING"	-0.311396886112834	0.455104158371457
"WALKING"	-0.320567937059964	0.445393756960384
"WALKING"	-0.329810664737308	0.458057300963807
"WALKING"	-0.317740158423119	0.446788963117256
"WALKING"	-0.33209124773328	0.454644005415269
"WALKING"	-0.340893880442977	0.458211197269922
"WALKING"	-0.355583521639875	0.450273954399841
"WALKING"	-0.37308955880943	0.457879202640634
"WALKING"	-0.365736922235258	0.456063261520369
"WALKING"	-0.353605203906239	0.453151865285584
"WALKING"	-0.331673127488948	0.460606257877184
"WALKING"	-0.338066160478788	0.452854852016772
"WALKING"	-0.353360423243012	0.452535492473421
"WALKING_DOWNSTAIRS"	-0.370323264121569	0.463159302217422
"WALKING_DOWNSTAIRS"	-0.338439935266845	0.461583326174594
"WALKING_DOWNSTAIRS"	-0.308922332447986	0.453282072946403
"WALKING_DOWNSTAIRS"	-0.315078175887701	0.452465674214366
"WALKING_DOWNSTAIRS"	-0.313216781375045	0.462399517030197
"WALKING_DOWNSTAIRS"	-0.270754499540107	0.460783186288268
"WALKING_DOWNSTAIRS"	-0.281071154208271	0.451492510565899
"WALKING_DOWNSTAIRS"	-0.333185643285027	0.463740290977185
"WALKING_DOWNSTAIRS"	-0.340185273725116	0.472805471125437
"WALKING_DOWNSTAIRS"	-0.206452124034225	0.449423806965096
"WALKING_DOWNSTAIRS"	-0.259164636374153	0.459453437603349
"WALKING_DOWNSTAIRS"	-0.218841448402852	0.443625356317213
"WALKING_DOWNSTAIRS"	-0.235468066469786	0.45436976151837
"WALKING_DOWNSTAIRS"	-0.272233622698915	0.445480940577563
"WALKING_DOWNSTAIRS"	-0.295037280055579	0.457887776688873
"WALKING_DOWNSTAIRS"	-0.272141863630873	0.440939043971378
